"","date","lmfit.pred","y302_holdout"
"50","20061","0.00802517933864683","0.00787470850140625"
"51","20062","0.00879669361768662","0.00911634775703125"
"55","20072","0.00284690672446975","0.00264799385453125"
"57","20074","0.00571842434859957","0.0040497918515625"
"61","20084","0.00968263457676551","0.00936592779921875"
"62","20091","0.0181232650443151","0.0195201532944444"
"78","20131","0.0154138773320972","0.0194856561604839"
"79","20132","0.0163668632196165","0.0193429259835385"
"82","20141","0.019158491368861","0.0218214060568254"
"95","20172","0.0133715331241399","0.0154192963307692"
