file,year,quarter,avg,median
ir127.csv,2005,1,0.0147884093975,0.015184083015000002
ir127.csv,2005,2,0.008739367669999998,0.008739367669999998
ir127.csv,2005,3,0.006721335145000007,0.006721335145000007
ir127.csv,2005,4,0.004784580650000005,0.004784580650000005
ir127.csv,2006,1,0.0016758914300000066,0.0016758914300000066
ir127.csv,2006,2,0.0040832757482608725,0.004006893390000009
ir127.csv,2006,3,0.002351447302499997,0.0022694255299999973
ir127.csv,2006,4,0.002031453155,0.0019233035350000073
ir127.csv,2007,1,0.00245886491625,0.002074399144999999
ir127.csv,2007,2,0.004155814500625,0.0039460867599999915
ir127.csv,2007,3,0.006961812651538461,0.006755529299999993
ir127.csv,2007,4,0.0102189717759375,0.010696696799999999
ir127.csv,2008,1,0.02156401841269841,0.0228389964
ir127.csv,2008,2,0.017479274346153845,0.017608462299999995
ir127.csv,2008,3,0.015564939739393937,0.01570401695
ir127.csv,2008,4,0.013789417632812502,0.013637537600000001
ir127.csv,2009,1,0.017514657188888887,0.0176803337
ir127.csv,2009,2,0.024788477320312502,0.024901745700000002
ir127.csv,2009,3,0.028475440174242424,0.028441895550000002
ir127.csv,2009,4,0.0308962172546875,0.031052026200000003
ir127.csv,2010,1,0.03445090615396826,0.0345614646
ir127.csv,2010,2,0.030905513746875002,0.0298269623
ir127.csv,2010,3,0.028326487077272724,0.0282976467
ir127.csv,2010,4,0.032297026918181815,0.032584717299999996
ir127.csv,2011,1,0.03531238373125,0.03522363095
ir127.csv,2011,2,0.0342963995015625,0.0340933005
ir127.csv,2011,3,0.028591572674242425,0.027805293000000002
ir127.csv,2011,4,0.0210297774609375,0.0209991641
ir127.csv,2012,1,0.022514219221875003,0.02244377275
ir127.csv,2012,2,0.0205828665453125,0.01945916945
ir127.csv,2012,3,0.020325575027692305,0.0202834782
ir127.csv,2012,4,0.022055474964615386,0.0220374018
ir127.csv,2013,1,0.025451300669354835,0.02558770255
ir127.csv,2013,2,0.026423052830769234,0.0265465159
ir127.csv,2013,3,0.03236499572121212,0.0324463177
ir127.csv,2013,4,0.03361178712307693,0.033734174500000005
ir127.csv,2014,1,0.03242082914285714,0.0324979869
ir127.csv,2014,2,0.029168731744615383,0.0289573274
ir127.csv,2014,3,0.02550390543030303,0.0254013678
ir127.csv,2014,4,0.021795196795384615,0.022481379699999998
ir127.csv,2015,1,0.015893199249206354,0.0158366396
ir127.csv,2015,2,0.017898572440000003,0.018103317600000002
ir127.csv,2015,3,0.01847386831969697,0.018365731600000004
ir127.csv,2015,4,0.016283440969230772,0.016342076299999998
ir127.csv,2016,1,0.0129397740265625,0.01260770315
ir127.csv,2016,2,0.011375247164615385,0.0112868274
ir127.csv,2016,3,0.007837021272727274,0.007838166649999999
ir127.csv,2016,4,0.010467567746875,0.011098519250000001
ir127.csv,2017,1,0.0108535947359375,0.010815396800000002
ir127.csv,2017,2,0.009343074536923075,0.009414727999999999
ir164.csv,2005,1,0.022179966434722226,0.022228140090000004
ir164.csv,2005,2,0.01843296334,0.01843296334
ir164.csv,2005,3,0.016197302649999995,0.016197302649999995
ir164.csv,2005,4,0.008487024215,0.008487024215
ir164.csv,2006,1,0.006374745229999999,0.006374745229999999
ir164.csv,2006,2,0.006605197891739131,0.006686770680000002
ir164.csv,2006,3,0.006392570359999995,0.006246461664999994
ir164.csv,2006,4,0.005753029255,0.005651356185000005
ir164.csv,2007,1,0.005522672796406251,0.005474597360000007
ir164.csv,2007,2,0.00374410374171875,0.0038101821749999994
ir164.csv,2007,3,0.004352137132,0.004181696339999999
ir164.csv,2007,4,0.006257547335,0.005932006014999998
ir164.csv,2008,1,0.013543688536031747,0.01364110215
ir164.csv,2008,2,0.013772826889538464,0.014657215290000004
ir164.csv,2008,3,0.013722348653030304,0.014498276775000003
ir164.csv,2008,4,0.02268323656359375,0.022490945264999996
