"","date","lmfit.pred","y247_holdout"
"50","20061","0.000163461281999847","-0.0039927349403125"
"51","20062","-0.000198467771899454","-0.0033002008940625"
"55","20072","-0.00499386815571308","-0.00869175913875"
"57","20074","-0.00940683176872748","-0.006065933650625"
"61","20084","0.00808808389592853","0.0081625885678125"
"62","20091","0.0188055665922613","0.0201522737098413"
"78","20131","0.020112205062981","0.0244797079775806"
"79","20132","0.0189728298339618","0.0233466566027692"
"82","20141","0.0186259671809675","0.0235101346523809"
"95","20172","0.00515739564470116","0.00939907877846154"
