date wrgdp woil wgold wcopp walum wgas wfood
2013-03-31 17868900.0 110.27 1327.54 7072.78 1780.23 3.55667 181.943
2013-06-30 18007600.0 109.21 1272.47 7152.67 1768.32 3.84333 178.811
2013-09-30 18124000.0 108.167 1293.95 7040.09 1708.19 5.18333 180.701
2013-12-31 18236500.0 109.7 1288.54 6786.72 1798.06 4.58667 181.527
2014-03-31 18390200.0 101.823 1281.93 6993.48 1987.11 3.93667 168.517
2014-06-30 18528800.0 76.4033 1200.36 6622.98 1965.87 3.76667 163.359
2014-09-30 18679200.0 53.9167 1219.22 5817.56 1799.5 2.87333 153.724
2014-12-31 18793700.0 61.6933 1192.82 6042.48 1764.88 2.73 146.471
2015-03-31 18907600.0 50.2333 1124.03 5258.85 1590.83 2.74667 139.467
2015-06-30 18988600.0 43.57 1104.4 4891.26 1494.77 2.10667 135.189
2015-09-30 19108500.0 33.6967 1181.21 4671.42 1515.42 1.97667 136.41
2015-12-31 19227400.0 45.5233 1259.35 4728.32 1571.15 2.13 150.959
2016-03-31 19345300.0 45.7867 1334.82 4772.06 1619.95 2.85 149.593
2016-06-30 19488800.0 49.1867 1217.98 5276.56 1709.64 3.01 146.623
2016-09-30 19618900.0 53.68 1219.36 5831.0 1850.81 2.98333 149.901
2016-12-31 19787700.0 49.67 1256.96 5661.4 1908.78 3.04667 147.373
2017-03-31 19954400.0 52.11 1277.84 6348.21 2011.29 2.93333 145.548
2017-06-30 20105800.0 61.53 1274.26 6807.85 2101.75 2.87333 144.77
2017-09-30 NA NA 1320.801 7042.066 2193.022 2.849 147.989
