"","date","lmfit.pred","y127_holdout"
"50","20061","-0.00130175870633744","0.00167589143000001"
"51","20062","0.00133668892660557","0.00408327574826087"
"55","20072","-0.00112890919302722","0.004155814500625"
"57","20074","0.0116341772978532","0.0102189717759375"
"61","20084","0.0115719155387563","0.0137894176328125"
"62","20091","0.0126678042194682","0.0175146571888889"
"78","20131","0.0184821117273336","0.0254513006693548"
"79","20132","0.0197284835230674","0.0264230528307692"
"82","20141","0.0279229086132916","0.0324208291428571"
"95","20172","0.00675559308347659","0.00934307453692308"
